Regione,Emissioni (milioni di t CO₂ eq)
Piemonte,"27,6"
Valle d'Aosta,1
Liguria,"4,9"
Lombardia,"65,3"
Trentino-Alto Adige,"3,7"
Veneto,"27,3"
Friuli Venezia Giulia,"6,3"
Emilia-Romagna,"35,7"
Toscana,"16,9"
Umbria,"3,5"
Marche,"5,6"
Lazio,"26,1"
Abruzzo,"6,2"
Molise,"1,6"
Campania,"20,3"
Puglia,"16,5"
Basilicata,"4,3"
Calabria,"7,9"
Sicilia,"14,9"
Sardegna,"4,8"
